iter	RMSE
0	8793.044224
1	8493.031276
2	8233.390869
3	8006.726807
4	7802.719103
5	7625.774445
6	7442.474335
7	7290.097866
8	7166.190817
9	7049.815252
10	6952.41811
11	6861.068462
12	6737.994192
13	6662.115812
14	6545.377784
15	6476.385681
16	6394.134527
17	6316.820345
18	6261.387547
19	6179.595808
20	6131.941756
21	6061.087028
22	5994.401632
23	5952.748944
24	5890.404975
25	5838.071001
26	5801.406379
27	5757.039227
28	5722.753388
29	5679.440473
30	5652.095255
31	5620.053845
32	5592.129238
33	5566.265046
34	5540.33421
35	5516.835907
36	5487.850818
37	5460.07796
38	5439.293682
39	5420.445477
40	5402.008319
41	5374.625369
42	5357.533002
43	5328.48472
44	5312.033561
45	5295.965172
46	5279.127817
47	5266.922345
48	5252.459722
49	5240.210165
50	5229.61243
51	5218.044075
52	5206.646386
53	5196.744079
54	5185.816951
55	5170.551923
56	5160.301948
57	5151.347389
58	5143.068451
59	5134.479791
60	5127.328062
61	5116.658377
62	5108.559251
63	5102.594095
64	5092.580623
65	5085.966443
66	5078.905545
67	5072.64313
68	5067.84216
69	5061.121063
70	5056.227536
71	5043.965711
72	5039.778817
73	5034.470326
74	5028.16715
75	5024.169786
76	5018.768489
77	5008.827426
78	5005.088648
79	5000.271106
80	4996.695504
81	4992.538497
82	4988.830882
83	4980.671199
84	4975.684304
85	4972.970988
86	4969.883277
87	4964.765773
88	4961.765108
89	4955.073031
90	4952.1609
91	4949.964594
92	4946.266315
93	4943.203059
94	4938.911677
95	4937.076227
96	4934.356463
97	4931.513124
98	4927.517153
99	4925.602246
100	4922.435652
101	4920.206282
102	4917.56018
103	4915.335264
104	4912.381659
105	4909.220928
106	4907.548821
107	4905.697587
108	4904.109795
109	4901.010678
110	4898.909359
111	4896.960741
112	4894.965194
113	4893.124645
114	4890.15683
115	4888.935222
116	4887.048003
117	4885.628229
118	4882.910812
119	4878.74632
120	4877.174038
121	4875.71499
122	4872.690339
123	4871.112009
124	4869.953488
125	4868.031531
126	4864.718807
127	4862.751711
128	4861.384253
129	4859.633143
130	4857.887915
131	4856.787143
132	4854.76943
133	4852.161299
134	4851.096465
135	4849.864913
136	4848.616736
137	4847.195028
138	4845.668499
139	4844.724387
140	4843.341192
141	4841.990861
142	4839.209898
143	4837.65485
144	4836.967667
145	4835.703595
146	4833.039392
147	4832.067093
148	4830.739922
149	4829.633086
150	4828.543417
151	4826.58612
152	4825.28737
153	4824.497113
154	4823.760944
155	4822.782802
156	4821.39355
157	4820.130272
158	4819.220625
159	4818.545291
160	4817.268154
161	4816.345578
162	4815.006837
163	4814.081156
164	4812.851125
165	4811.994554
166	4810.515214
167	4809.923288
168	4809.308119
169	4808.690811
170	4807.836403
171	4806.711509
172	4806.144513
173	4805.493379
174	4804.669724
175	4803.980258
176	4802.898412
177	4802.235758
178	4801.43315
179	4800.904327
180	4800.058276
181	4799.477934
182	4798.785456
183	4798.037938
184	4797.211526
185	4796.273226
186	4795.806098
187	4794.580004
188	4793.831137
189	4793.037878
190	4792.189919
191	4791.582729
192	4790.65806
193	4789.868864
194	4789.104192
195	4788.484355
196	4787.843204
197	4787.079559
198	4786.657915
199	4786.311982
200	4785.721617
201	4785.320253
202	4784.615656
203	4784.228161
204	4783.663669
205	4783.233075
206	4782.186781
207	4781.676461
208	4780.525283
209	4779.971239
210	4779.32663
211	4778.957963
212	4778.571706
213	4778.177301
214	4777.630989
215	4776.751429
216	4776.273185
217	4775.396699
218	4774.895303
219	4774.139097
220	4773.260948
221	4772.77364
222	4771.945757
223	4770.990695
224	4769.906234
225	4769.350053
226	4769.012859
227	4768.005762
228	4766.785486
229	4766.094893
230	4765.564647
231	4764.992304
232	4764.498449
233	4763.839352
234	4762.888242
235	4762.436326
236	4761.914278
237	4761.443682
238	4761.18377
239	4760.528128
240	4760.185734
241	4759.672244
242	4759.123499
243	4758.896405
244	4758.249498
245	4757.608694
246	4756.746163
247	4756.248166
248	4755.761079
249	4755.25289
250	4754.870493
251	4754.179679
252	4753.69957
253	4752.926314
254	4752.005061
255	4751.473613
256	4751.001918
257	4750.638166
258	4750.118493
259	4749.697797
260	4749.456472
261	4747.957012
262	4747.058924
263	4746.309583
264	4745.898797
265	4745.059914
266	4744.766467
267	4743.7708
268	4743.373295
269	4743.018791
270	4742.501301
271	4742.098185
272	4741.854212
273	4741.468658
274	4741.119895
275	4740.463634
276	4739.703982
277	4738.883955
278	4738.465865
279	4738.142485
280	4737.707211
281	4737.500775
282	4737.132226
283	4736.936453
284	4736.625117
285	4736.088868
286	4735.174159
287	4734.839473
288	4734.174923
289	4732.396839
290	4731.790367
291	4730.994054
292	4730.595481
293	4730.250737
294	4729.656688
295	4729.077527
296	4728.681276
297	4728.548212
298	4728.1324
299	4727.566941
300	4727.261491
301	4726.453964
302	4726.035374
303	4725.430027
304	4724.997215
305	4724.69712
306	4724.196288
307	4723.740376
308	4723.260548
309	4722.755114
310	4722.216536
311	4721.762103
312	4721.334427
313	4720.803259
314	4720.5253
315	4720.220213
316	4719.869231
317	4719.513794
318	4719.124371
319	4718.814973
320	4718.457008
321	4718.136829
322	4717.878263
323	4717.346824
324	4717.056818
325	4716.84014
326	4716.462818
327	4715.885207
328	4715.501982
329	4715.326948
330	4714.841514
331	4714.443984
