iter	Passed	Remaining
0	22	16490
1	46	16663
2	70	16720
3	91	16409
4	111	15933
5	130	15486
6	150	15349
7	173	15393
8	194	15330
9	212	15090
10	237	15271
11	258	15233
12	284	15426
13	308	15530
14	332	15609
15	358	15773
16	382	15790
17	403	15703
18	426	15721
19	453	15854
20	487	16189
21	517	16410
22	551	16694
23	584	16925
24	611	16964
25	636	16973
26	664	17041
27	687	16962
28	711	16919
29	734	16862
30	759	16864
31	783	16820
32	806	16768
33	833	16789
34	858	16784
35	883	16757
36	910	16791
37	934	16750
38	959	16723
39	984	16706
40	1014	16770
41	1046	16873
42	1079	16972
43	1112	17069
44	1138	17049
45	1159	16966
46	1182	16912
47	1210	16927
48	1233	16864
49	1255	16795
50	1283	16805
51	1310	16807
52	1335	16783
53	1364	16798
54	1387	16749
55	1412	16718
56	1439	16721
57	1462	16668
58	1489	16661
59	1518	16674
60	1547	16687
61	1581	16758
62	1615	16823
63	1647	16864
64	1681	16917
65	1711	16932
66	1745	16987
67	1772	16973
68	1797	16933
69	1826	16936
70	1855	16935
71	1887	16962
72	1915	16952
73	1945	16954
74	1979	16993
75	2004	16961
76	2035	16973
77	2060	16930
78	2091	16944
79	2122	16953
80	2146	16908
81	2174	16890
82	2211	16942
83	2250	17012
84	2280	17011
85	2308	16993
86	2337	16978
87	2370	16994
88	2401	17001
89	2431	16995
90	2466	17020
91	2498	17024
92	2531	17038
93	2560	17026
94	2589	17011
95	2622	17021
96	2653	17013
97	2684	17009
98	2714	16997
99	2746	16998
100	2778	17003
101	2804	16965
102	2833	16943
103	2857	16897
104	2887	16883
105	2913	16850
106	2939	16813
107	2969	16799
108	2997	16777
109	3022	16735
110	3047	16692
111	3073	16656
112	3096	16604
113	3122	16569
114	3145	16521
115	3170	16480
116	3194	16436
117	3219	16397
118	3242	16347
119	3266	16306
120	3289	16258
121	3313	16212
122	3336	16166
123	3366	16152
124	3396	16142
125	3421	16102
126	3453	16096
127	3488	16105
128	3523	16115
129	3553	16099
130	3581	16076
131	3610	16053
132	3633	16009
133	3656	15964
134	3679	15918
135	3703	15877
136	3729	15844
137	3754	15805
138	3779	15772
139	3809	15753
140	3835	15721
141	3859	15684
142	3885	15651
143	3911	15619
144	3937	15585
145	3962	15550
146	3991	15529
147	4016	15496
148	4061	15535
149	4093	15527
150	4117	15489
151	4150	15483
152	4179	15461
153	4204	15427
154	4229	15389
155	4258	15370
156	4288	15352
157	4318	15332
158	4344	15300
159	4373	15280
160	4399	15249
161	4424	15213
162	4452	15188
163	4476	15148
164	4499	15108
165	4527	15083
166	4551	15042
167	4577	15011
168	4598	14966
169	4625	14936
170	4655	14919
171	4686	14903
172	4710	14865
173	4733	14825
174	4757	14789
175	4786	14767
176	4810	14731
177	4832	14686
178	4856	14651
179	4878	14607
180	4905	14581
181	4930	14548
182	4960	14527
183	4985	14495
184	5009	14459
185	5034	14426
186	5062	14401
187	5088	14371
188	5114	14340
189	5142	14316
190	5168	14288
191	5194	14256
192	5218	14223
193	5242	14186
194	5266	14152
195	5291	14119
196	5316	14086
197	5340	14052
198	5362	14012
199	5389	13986
200	5423	13977
201	5448	13944
202	5476	13920
203	5504	13895
204	5526	13856
205	5548	13816
206	5570	13779
207	5594	13744
208	5620	13714
209	5642	13675
210	5665	13639
211	5687	13601
212	5717	13582
213	5747	13561
214	5776	13540
215	5808	13525
216	5835	13500
217	5868	13486
218	5899	13469
219	5932	13456
220	5956	13422
221	5978	13384
222	6001	13349
223	6031	13329
224	6058	13301
225	6084	13272
226	6107	13237
227	6130	13202
228	6171	13205
229	6210	13204
230	6245	13194
231	6272	13166
232	6305	13152
233	6337	13135
234	6370	13120
235	6398	13094
236	6425	13067
237	6450	13035
238	6477	13009
239	6506	12986
240	6528	12947
241	6552	12915
242	6580	12890
243	6603	12854
244	6626	12819
245	6648	12784
246	6675	12755
247	6698	12720
248	6724	12692
249	6749	12661
250	6776	12634
251	6811	12622
252	6835	12590
253	6864	12566
254	6889	12536
255	6913	12504
256	6937	12471
257	6958	12433
258	6980	12398
259	7006	12368
260	7028	12333
261	7068	12329
262	7107	12322
263	7133	12294
264	7157	12261
265	7181	12230
266	7212	12209
267	7238	12180
268	7262	12149
269	7293	12129
270	7320	12102
271	7341	12065
272	7362	12028
273	7383	11990
274	7414	11971
275	7439	11941
276	7471	11921
277	7499	11896
278	7521	11861
279	7544	11828
280	7568	11797
281	7590	11763
282	7613	11729
283	7635	11695
284	7659	11664
285	7686	11636
286	7712	11608
287	7744	11590
288	7772	11564
289	7805	11547
290	7833	11521
291	7855	11487
292	7880	11457
293	7909	11434
294	7934	11404
295	7961	11377
296	7986	11348
297	8010	11316
298	8041	11295
299	8067	11267
300	8095	11242
301	8126	11220
302	8154	11195
303	8183	11171
304	8206	11139
305	8235	11115
306	8266	11094
307	8298	11074
308	8326	11048
309	8358	11028
310	8384	10999
311	8412	10974
312	8444	10954
313	8474	10930
314	8502	10904
315	8530	10878
316	8552	10845
317	8572	10809
318	8594	10776
319	8616	10743
320	8637	10709
321	8663	10680
322	8683	10645
323	8706	10614
324	8732	10586
325	8767	10570
326	8792	10540
327	8819	10513
328	8847	10488
329	8870	10456
330	8903	10437
331	8937	10418
332	8976	10405
333	9001	10376
334	9030	10351
335	9060	10327
336	9093	10307
337	9125	10286
338	9150	10257
339	9175	10227
340	9195	10193
341	9221	10165
342	9244	10134
343	9269	10105
344	9292	10073
345	9312	10039
346	9341	10014
347	9363	9982
348	9388	9953
349	9410	9921
350	9442	9899
351	9469	9872
352	9513	9863
353	9546	9843
354	9570	9812
355	9592	9781
356	9617	9752
357	9640	9721
358	9666	9693
359	9695	9668
360	9720	9639
361	9748	9613
362	9769	9581
363	9795	9553
364	9822	9526
365	9851	9501
366	9881	9477
367	9907	9449
368	9936	9425
369	9965	9400
370	9989	9370
371	10018	9345
372	10047	9319
373	10075	9293
374	10103	9268
375	10145	9255
376	10183	9237
377	10216	9216
378	10254	9199
379	10293	9182
380	10331	9165
381	10369	9148
382	10412	9134
383	10448	9115
384	10493	9103
385	10527	9081
386	10567	9065
387	10604	9046
388	10646	9031
389	10682	9011
390	10708	8983
391	10733	8953
392	10760	8926
393	10790	8900
394	10819	8875
395	10849	8849
396	10881	8826
397	10915	8803
398	10947	8779
399	10971	8750
400	11000	8723
401	11032	8699
402	11062	8673
403	11090	8647
404	11114	8617
405	11143	8590
406	11166	8560
407	11192	8531
408	11216	8501
409	11249	8478
410	11273	8448
411	11295	8417
412	11318	8386
413	11349	8361
414	11374	8332
415	11403	8305
416	11428	8276
417	11459	8252
418	11482	8221
419	11505	8191
420	11527	8159
421	11556	8133
422	11580	8103
423	11609	8077
424	11638	8051
425	11663	8022
426	11697	7999
427	11724	7971
428	11752	7944
429	11778	7916
430	11809	7891
431	11834	7862
432	11859	7833
433	11885	7804
434	11911	7776
435	11934	7746
436	11955	7715
437	11977	7684
438	12001	7654
439	12023	7624
440	12050	7596
441	12079	7570
442	12110	7545
443	12151	7526
444	12191	7506
445	12222	7481
446	12252	7455
447	12279	7428
448	12312	7403
449	12342	7378
450	12367	7349
451	12399	7324
452	12426	7296
453	12448	7266
454	12473	7237
455	12496	7207
456	12524	7180
457	12548	7151
458	12573	7122
459	12609	7099
460	12633	7070
461	12659	7042
462	12682	7012
463	12710	6985
464	12736	6957
465	12770	6933
466	12800	6907
467	12832	6882
468	12859	6854
469	12888	6828
470	12913	6799
471	12939	6771
472	12971	6746
473	12999	6718
474	13031	6693
475	13068	6671
476	13098	6645
477	13127	6618
478	13155	6591
479	13177	6561
480	13201	6532
481	13228	6504
482	13255	6476
483	13279	6447
484	13305	6419
485	13330	6390
486	13359	6364
487	13394	6340
488	13415	6309
489	13458	6289
490	13487	6263
491	13526	6241
492	13562	6217
493	13592	6190
494	13620	6163
495	13645	6135
496	13673	6107
497	13699	6079
498	13727	6052
499	13757	6025
500	13785	5998
501	13810	5969
502	13837	5942
503	13871	5917
504	13909	5894
505	13935	5866
506	13966	5839
507	13992	5811
508	14019	5783
509	14048	5757
510	14076	5729
511	14104	5702
512	14133	5675
513	14158	5646
514	14183	5618
515	14207	5589
516	14231	5560
517	14257	5532
518	14282	5503
519	14304	5474
520	14328	5445
521	14353	5417
522	14378	5388
523	14401	5359
524	14426	5331
525	14450	5302
