일시,공급능력(MW),현재부하(MW),공급예비력(MW),공급예비율(%)
2023-03-13 00:00,"84,908","58,782","26,126",44
2023-03-13 00:05,"85,918","58,954","26,963",46
2023-03-13 00:10,"86,266","58,711","27,556",47
2023-03-13 00:15,"86,280","58,298","27,982",48
2023-03-13 00:20,"86,249","58,264","27,985",48
2023-03-13 00:25,"86,220","58,105","28,115",48
2023-03-13 00:30,"86,208","57,476","28,732",50
2023-03-13 00:35,"86,236","57,141","28,762",50
2023-03-13 00:40,"86,249","56,897","29,020",51
2023-03-13 00:45,"86,257","56,664","29,038",51
2023-03-13 00:50,"86,249","57,042","28,419",49
2023-03-13 00:55,"86,281","57,012","28,457",49
2023-03-13 01:00,"86,267","56,858","28,305",49
2023-03-13 01:05,"87,936","56,391","30,437",53
2023-03-13 01:10,"87,876","56,329","30,441",53
2023-03-13 01:15,"87,876","56,047","30,725",54
2023-03-13 01:20,"87,858","55,858","30,895",54
2023-03-13 01:25,"87,852","56,002","30,747",54
2023-03-13 01:30,"87,842","55,513","31,222",55
2023-03-13 01:35,"87,868","55,624","31,144",55
2023-03-13 01:40,"87,866","55,432","31,330",55
2023-03-13 01:45,"87,883","55,203","31,576",56
2023-03-13 01:50,"87,884","55,091","31,688",56
2023-03-13 01:55,"87,885","54,984","31,795",57
2023-03-13 02:00,"87,894","54,867","31,922",57
2023-03-13 02:05,"88,486","54,837","32,548",58
2023-03-13 02:10,"88,488","54,746","32,640",58
2023-03-13 02:15,"88,518","54,719","32,371",58
2023-03-13 02:20,"88,507","54,595","32,464",58
2023-03-13 02:25,"88,464","54,217","32,441",58
2023-03-13 02:30,"88,826","54,099","32,904",59
2023-03-13 02:35,"88,823","54,459","32,303",57
2023-03-13 02:40,"88,858","54,596","32,197",57
2023-03-13 02:45,"88,847","54,180","32,597",58
2023-03-13 02:50,"88,853","54,332","32,459",58
2023-03-13 02:55,"88,863","53,990","32,806",59
2023-03-13 03:00,"88,882","54,328","32,491",58
2023-03-13 03:05,"89,205","54,311","32,832",58
2023-03-13 03:10,"89,211","54,150","32,997",59
2023-03-13 03:15,"89,201","54,072","33,064",59
2023-03-13 03:20,"89,186","54,111","33,011",59
2023-03-13 03:25,"89,176","54,045","33,073",59
2023-03-13 03:30,"89,188","54,231","32,899",58
2023-03-13 03:35,"89,193","53,947","33,184",59
2023-03-13 03:40,"89,182","54,113","33,005",59
2023-03-13 03:45,"89,180","54,314","32,805",58
2023-03-13 03:50,"89,187","54,251","32,878",58
2023-03-13 03:55,"89,167","54,285","32,824",58
2023-03-13 04:00,"89,159","54,297","32,802",58
2023-03-13 04:05,"89,199","54,569","32,580",58
2023-03-13 04:10,"89,212","54,571","32,584",58
2023-03-13 04:15,"89,192","54,740","32,394",57
2023-03-13 04:20,"89,194","54,667","32,467",57
2023-03-13 04:25,"89,186","54,592","32,540",57
2023-03-13 04:30,"89,189","54,600","32,534",57
2023-03-13 04:35,"89,185","54,768","32,366",57
2023-03-13 04:40,"89,184","55,087","32,046",56
2023-03-13 04:45,"89,182","55,193","31,934",56
2023-03-13 04:50,"89,180","55,466","31,661",55
2023-03-13 04:55,"89,248","55,921","31,284",54
2023-03-13 05:00,"89,270","55,860","31,362",54
2023-03-13 05:05,"89,286","56,190","31,046",53
2023-03-13 05:10,"89,318","56,292","30,977",53
2023-03-13 05:15,"89,331","56,400","30,877",53
2023-03-13 05:20,"89,302","56,667","30,591",52
2023-03-13 05:25,"89,329","56,932","30,353",52
2023-03-13 05:30,"89,345","57,259","30,043",51
2023-03-13 05:35,"89,333","57,784","29,506",49
2023-03-13 05:40,"89,348","57,690","29,615",50
2023-03-13 05:45,"89,364","58,031","29,289",49
2023-03-13 05:50,"89,380","58,570","28,767",48
2023-03-13 05:55,"89,350","58,788","28,521",47
2023-03-13 06:00,"89,366","59,132","28,189",46
2023-03-13 06:05,"89,380","60,047","27,290",44
2023-03-13 06:10,"89,407","60,193","27,168",44
2023-03-13 06:15,"89,395","60,770","26,587",42
2023-03-13 06:20,"89,414","61,272","26,107",41
2023-03-13 06:25,"89,405","61,566","25,796",41
2023-03-13 06:30,"89,423","61,690","25,691",40
2023-03-13 06:35,"89,429","62,479","24,916",39
2023-03-13 06:40,"89,428","62,714","24,982",39
2023-03-13 06:45,"89,438","63,182","24,524",38
2023-03-13 06:50,"89,460","63,225","24,588",38
2023-03-13 06:55,"89,484","63,927","24,150",37
2023-03-13 07:00,"89,467","64,572","23,490",36
2023-03-13 07:05,"89,418","65,484","22,531",34
2023-03-13 07:10,"89,728","66,104","22,218",33
2023-03-13 07:15,"89,722","66,812","21,708",32
2023-03-13 07:20,"89,705","66,928","21,826",32
2023-03-13 07:25,"89,744","66,974","21,823",32
2023-03-13 07:30,"89,788","67,238","21,922",32
2023-03-13 07:35,"89,828","67,697","21,760",32
2023-03-13 07:40,"89,842","67,671","21,800",32
2023-03-13 07:45,"89,884","67,919","21,596",32
2023-03-13 07:50,"89,929","68,238","21,691",32
2023-03-13 07:55,"89,953","68,091","21,862",32
2023-03-13 08:00,"89,994","68,370","21,624",32
2023-03-13 08:05,"89,820","69,060","20,760",30
2023-03-13 08:10,"90,004","69,449","20,556",30
2023-03-13 08:15,"90,240","69,887","20,353",29
2023-03-13 08:20,"90,435","70,034","20,401",29
2023-03-13 08:25,"90,613","70,163","20,449",29
2023-03-13 08:30,"90,643","70,393","20,250",29
2023-03-13 08:35,"90,705","70,476","20,229",29
2023-03-13 08:40,"90,730","70,765","19,965",28
2023-03-13 08:45,"90,784","70,326","20,458",29
2023-03-13 08:50,"90,828","70,823","20,005",28
2023-03-13 08:55,"90,858","70,594","20,264",29
2023-03-13 09:00,"90,883","70,355","20,528",29
2023-03-13 09:05,"90,644","70,034","20,611",29
2023-03-13 09:10,"90,880","69,976","20,904",30
2023-03-13 09:15,"91,191","70,045","21,146",30
2023-03-13 09:20,"91,521","70,346","21,175",30
2023-03-13 09:25,"91,771","69,940","21,831",31
2023-03-13 09:30,"91,821","69,799","22,021",32
2023-03-13 09:35,"91,886","69,692","22,194",32
2023-03-13 09:40,"91,848","69,416","22,432",32
2023-03-13 09:45,"91,871","68,849","23,022",33
2023-03-13 09:50,"91,917","68,692","23,225",34
2023-03-13 09:55,"91,948","67,952","23,996",35
2023-03-13 10:00,"91,961","67,614","24,347",36
2023-03-13 10:05,"91,519","67,804","23,715",35
2023-03-13 10:10,"91,701","68,022","23,679",35
2023-03-13 10:15,"91,915","68,212","23,703",35
2023-03-13 10:20,"92,085","68,442","23,643",35
2023-03-13 10:25,"92,194","68,189","24,006",35
2023-03-13 10:30,"92,193","67,826","24,367",36
