지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
108,2023-03-01 00:01,6.3,0,17.5,.9,1013.6,1024.2,68.1,0,0
108,2023-03-01 00:02,6.3,0,28,.8,1013.6,1024.2,69,0,0
108,2023-03-01 00:03,6.3,0,43,.4,1013.6,1024.2,67.8,0,0
108,2023-03-01 00:04,6.3,0,37,.7,1013.6,1024.2,68.2,0,0
108,2023-03-01 00:05,6.3,0,61.7,.9,1013.5,1024.1,67.7,0,0
108,2023-03-01 00:06,6.2,0,46.5,1,1013.5,1024.1,67.6,0,0
108,2023-03-01 00:07,6.2,0,24.8,1,1013.5,1024.1,66.8,0,0
108,2023-03-01 00:08,6.2,0,28,.8,1013.5,1024.1,67.4,0,0
108,2023-03-01 00:09,6.2,0,105.9,.6,1013.4,1024,67.6,0,0
108,2023-03-01 00:10,6.2,0,154.5,.1,1013.4,1024,66.3,0,0
108,2023-03-01 00:11,6.2,0,308.3,.2,1013.4,1024,67.6,0,0
108,2023-03-01 00:12,6.2,0,129.3,.2,1013.4,1024,67.4,0,0
108,2023-03-01 00:13,6.2,0,0,0,1013.4,1024,67.2,0,0
108,2023-03-01 00:14,6.2,0,345.9,.3,1013.4,1024,65.9,0,0
108,2023-03-01 00:15,6.2,0,17.9,.1,1013.4,1024,67,0,0
108,2023-03-01 00:16,6.2,0,51.5,.3,1013.4,1024,66.7,0,0
108,2023-03-01 00:17,6.2,0,4,.4,1013.4,1024,66.8,0,0
108,2023-03-01 00:18,6.2,0,346.2,.5,1013.4,1024,67.1,0,0
108,2023-03-01 00:19,6.2,0,342.4,.6,1013.4,1024,67.1,0,0
108,2023-03-01 00:20,6.2,0,345.5,.6,1013.4,1024,67.8,0,0
108,2023-03-01 00:21,6.2,0,330.2,.7,1013.4,1024,67.7,0,0
108,2023-03-01 00:22,6.2,0,337.7,.9,1013.4,1024,68.1,0,0
108,2023-03-01 00:23,6.2,0,342.3,1,1013.4,1024,67.2,0,0
108,2023-03-01 00:24,6.2,0,349.6,1,1013.4,1024,67.8,0,0
108,2023-03-01 00:25,6.2,0,4.3,.9,1013.4,1024,67.9,0,0
108,2023-03-01 00:26,6.2,0,.6,1,1013.3,1023.9,67.8,0,0
108,2023-03-01 00:27,6.2,0,294.8,.4,1013.3,1023.9,67.7,0,0
108,2023-03-01 00:28,6.2,0,271.1,.4,1013.3,1023.9,68.5,0,0
108,2023-03-01 00:29,6.2,0,231.8,.4,1013.3,1023.9,68.3,0,0
108,2023-03-01 00:30,6.2,0,.9,.9,1013.3,1023.9,68.6,0,0
108,2023-03-01 00:31,6.2,0,347.8,1.2,1013.3,1023.9,68.4,0,0
108,2023-03-01 00:32,6.2,0,354.3,1,1013.3,1023.9,68.3,0,0
108,2023-03-01 00:33,6.2,0,358.9,.8,1013.3,1023.9,68.7,0,0
108,2023-03-01 00:34,6.2,0,355,.9,1013.3,1023.9,68.7,0,0
108,2023-03-01 00:35,6.2,0,292.3,1,1013.3,1023.9,68.2,0,0
108,2023-03-01 00:36,6.2,0,31.8,1,1013.3,1023.9,68.4,0,0
108,2023-03-01 00:37,6.2,0,145.9,1.1,1013.3,1023.9,68.2,0,0
108,2023-03-01 00:38,6.2,0,21.7,1.3,1013.3,1023.9,68.7,0,0
108,2023-03-01 00:39,6.2,0,34.3,1.1,1013.3,1023.9,68.2,0,0
